datazone_code,datazone_name,greenspace_name
S01008692,Meadowbank and Abbeyhill North - 04,Holyrood Park 
S01008693,Meadowbank and Abbeyhill North - 05,Holyrood Park 
S01008694,Willowbrae and Duddingston Village - 01,Holyrood Park 
S01008694,Willowbrae and Duddingston Village - 01,Meadowfield Park 
S01008695,Willowbrae and Duddingston Village - 02,Holyrood Park 
S01008695,Willowbrae and Duddingston Village - 02,Meadowfield Park 
S01008696,Willowbrae and Duddingston Village - 03,Holyrood Park 
S01008696,Willowbrae and Duddingston Village - 03,Meadowfield Park 
S01008697,Willowbrae and Duddingston Village - 04,Holyrood Park 
S01008697,Willowbrae and Duddingston Village - 04,Meadowfield Park 
S01008698,Willowbrae and Duddingston Village - 05,Holyrood Park 
S01008698,Willowbrae and Duddingston Village - 05,Meadowfield Park 
S01008698,Willowbrae and Duddingston Village - 05,Figgate Burn Park 
S01008699,Willowbrae and Duddingston Village - 06,Duddingston Loch and Bird Sanctuary 
S01008699,Willowbrae and Duddingston Village - 06,Holyrood Park 
S01008699,Willowbrae and Duddingston Village - 06,Meadowfield Park 
S01008700,Willowbrae and Duddingston Village - 07,Holyrood Park 
S01008700,Willowbrae and Duddingston Village - 07,Duddingston Loch and Bird Sanctuary 
S01008700,Willowbrae and Duddingston Village - 07,Craigmillar Castle Park inc Hawkhill 
S01008700,Willowbrae and Duddingston Village - 07,Jewel Park 
S01008700,Willowbrae and Duddingston Village - 07,Meadowfield Park 
S01008701,Craigmillar - 01,Craigmillar Castle Park inc Hawkhill 
S01008701,Craigmillar - 01,Duddingston Loch and Bird Sanctuary 
S01008701,Craigmillar - 01,Jewel Park 
S01008702,Craigmillar - 02,Craigmillar Castle Park inc Hawkhill 
S01008702,Craigmillar - 02,Duddingston Loch and Bird Sanctuary 
S01008702,Craigmillar - 02,Jewel Park 
S01008703,Craigmillar - 03,Craigmillar Castle Park inc Hawkhill 
S01008703,Craigmillar - 03,Duddingston Loch and Bird Sanctuary 
S01008704,Craigmillar - 04,Inch Park 
S01008704,Craigmillar - 04,Craigmillar Castle Park inc Hawkhill 
S01008704,Craigmillar - 04,Duddingston Loch and Bird Sanctuary 
S01008704,Craigmillar - 04,Hunters Hall Park (JKC) 
S01008704,Craigmillar - 04,Jewel Park 
S01008705,Craigmillar - 05,Craigmillar Castle Park inc Hawkhill 
S01008705,Craigmillar - 05,Duddingston Loch and Bird Sanctuary 
S01008706,Niddrie - 01,Jewel Park 
S01008706,Niddrie - 01,Hunters Hall Park (JKC) 
S01008707,Niddrie - 02,Craigmillar Castle Park inc Hawkhill 
S01008707,Niddrie - 02,Hunters Hall Park (JKC) 
S01008707,Niddrie - 02,Jewel Park 
S01008708,Niddrie - 03,Hunters Hall Park (JKC) 
S01008708,Niddrie - 03,Jewel Park 
S01008709,Niddrie - 04,Jewel Park 
S01008709,Niddrie - 04,Hunters Hall Park (JKC) 
S01008710,Niddrie - 05,Jewel Park 
S01008710,Niddrie - 05,Hunters Hall Park (JKC) 
S01008711,Niddrie - 06,Jewel Park 
S01008711,Niddrie - 06,Hunters Hall Park (JKC) 
S01008712,"Bingham, Magdalene and The Christians - 01",Jewel Park 
S01008712,"Bingham, Magdalene and The Christians - 01",Hunters Hall Park (JKC) 
S01008713,"Bingham, Magdalene and The Christians - 02",Jewel Park 
S01008714,"Bingham, Magdalene and The Christians - 03",Jewel Park 
S01008715,"Bingham, Magdalene and The Christians - 04",Jewel Park 
S01008716,"Bingham, Magdalene and The Christians - 05",-
S01008717,"Jewel, Brunstane and Newcraighall - 01",Jewel Park 
S01008718,"Jewel, Brunstane and Newcraighall - 02",Hunters Hall Park (JKC) 
S01008718,"Jewel, Brunstane and Newcraighall - 02",Jewel Park 
S01008719,"Jewel, Brunstane and Newcraighall - 03",Hunters Hall Park (JKC) 
S01008719,"Jewel, Brunstane and Newcraighall - 03",Jewel Park 
S01008720,"Jewel, Brunstane and Newcraighall - 04",Hunters Hall Park (JKC) 
S01008720,"Jewel, Brunstane and Newcraighall - 04",Jewel Park 
S01008721,"Jewel, Brunstane and Newcraighall - 05",-
S01008722,Joppa - 01,-
S01008723,Joppa - 02,-
S01008724,Joppa - 03,-
S01008725,Joppa - 04,-
S01008726,Joppa - 05,-
S01008727,Joppa - 06,-
S01008728,Portobello - 01,Figgate Burn Park 
S01008729,Portobello - 02,Figgate Burn Park 
S01008730,Portobello - 03,Figgate Burn Park 
S01008731,Portobello - 04,Figgate Burn Park 
S01008732,Portobello - 05,Figgate Burn Park 
S01008733,Portobello - 06,Figgate Burn Park 
S01008734,Duddingston and Portobello South - 01,Jewel Park 
S01008734,Duddingston and Portobello South - 01,Figgate Burn Park 
S01008735,Duddingston and Portobello South - 02,Jewel Park 
S01008735,Duddingston and Portobello South - 02,Figgate Burn Park 
S01008736,Duddingston and Portobello South - 03,Jewel Park 
S01008736,Duddingston and Portobello South - 03,Figgate Burn Park 
S01008737,Duddingston and Portobello South - 04,Jewel Park 
S01008737,Duddingston and Portobello South - 04,Figgate Burn Park 
S01008738,Duddingston and Portobello South - 05,Figgate Burn Park 
S01008739,Mountcastle - 01,Figgate Burn Park 
S01008740,Mountcastle - 02,Figgate Burn Park 
S01008741,Mountcastle - 03,Figgate Burn Park 
S01008742,Mountcastle - 04,Holyrood Park 
S01008742,Mountcastle - 04,Figgate Burn Park 
S01008743,Northfield and Piershill - 01,Meadowfield Park 
S01008743,Northfield and Piershill - 01,Figgate Burn Park 
S01008744,Northfield and Piershill - 02,Holyrood Park 
S01008744,Northfield and Piershill - 02,Meadowfield Park 
S01008744,Northfield and Piershill - 02,Figgate Burn Park 
S01008745,Northfield and Piershill - 03,Holyrood Park 
S01008745,Northfield and Piershill - 03,Meadowfield Park 
S01008746,Northfield and Piershill - 04,Holyrood Park 
S01008746,Northfield and Piershill - 04,Meadowfield Park 
S01008747,Craigentinny - 01,Figgate Burn Park 
S01008748,Craigentinny - 02,-
S01008749,Craigentinny - 03,Figgate Burn Park 
S01008750,Craigentinny - 04,-
S01008751,Restalrig (Loganlea) and Craigentinny West - 01,Holyrood Park 
S01008752,Restalrig (Loganlea) and Craigentinny West - 02,-
S01008753,Restalrig (Loganlea) and Craigentinny West - 03,-
S01008754,Restalrig (Loganlea) and Craigentinny West - 04,-
S01008755,Restalrig (Loganlea) and Craigentinny West - 05,Holyrood Park 
S01008756,Restalrig and Lochend - 01,-
S01008757,Restalrig and Lochend - 02,-
S01008758,Restalrig and Lochend - 03,Leith Links 
S01008759,Restalrig and Lochend - 04,Leith Links 
S01008760,Restalrig and Lochend - 05,Leith Links 
S01008761,Restalrig and Lochend - 06,Leith Links 
S01008762,Leith (Hermitage and Prospect Bank) - 01,Leith Links 
S01008763,Leith (Hermitage and Prospect Bank) - 02,Leith Links 
S01008764,Leith (Hermitage and Prospect Bank) - 03,Leith Links 
S01008765,Leith (Hermitage and Prospect Bank) - 04,Leith Links 
S01008766,Leith (Hermitage and Prospect Bank) - 05,Leith Links 
S01008767,Leith (Hermitage and Prospect Bank) - 06,Leith Links 
S01008768,Western Harbour and Leith Docks - 01,Leith Links 
S01008769,Western Harbour and Leith Docks - 02,Leith Links 
S01008770,Western Harbour and Leith Docks - 03,-
S01008771,Western Harbour and Leith Docks - 04,-
S01008772,North Leith and Newhaven - 01,-
S01008773,North Leith and Newhaven - 02,-
S01008774,North Leith and Newhaven - 03,-
S01008775,North Leith and Newhaven - 04,-
S01008776,North Leith and Newhaven - 05,-
S01008777,North Leith and Newhaven - 06,Leith Links 
S01008778,The Shore and Constitution Street - 01,Leith Links 
S01008779,The Shore and Constitution Street - 02,Leith Links 
S01008780,The Shore and Constitution Street - 03,Leith Links 
S01008781,The Shore and Constitution Street - 04,Leith Links 
S01008782,The Shore and Constitution Street - 05,Leith Links 
S01008783,The Shore and Constitution Street - 06,Leith Links 
S01008784,The Shore and Constitution Street - 07,Leith Links 
S01008785,Great Junction Street - 01,Leith Links 
S01008786,Great Junction Street - 02,Leith Links 
S01008787,Great Junction Street - 03,Leith Links 
S01008788,Great Junction Street - 04,Leith Links 
S01008789,Great Junction Street - 05,Leith Links 
S01008790,Great Junction Street - 06,Leith Links 
S01008791,Great Junction Street - 07,Leith Links 
S01008792,South Leith - 01,Leith Links 
S01008793,South Leith - 02,Leith Links 
S01008794,South Leith - 03,Leith Links 
S01008795,South Leith - 04,Leith Links 
S01008796,South Leith - 05,Leith Links 
S01008797,South Leith - 06,Leith Links 
S01008798,Easter Road and Hawkhill Avenue - 01,Leith Links 
S01008799,Easter Road and Hawkhill Avenue - 02,-
S01008800,Easter Road and Hawkhill Avenue - 03,-
S01008801,Easter Road and Hawkhill Avenue - 04,Holyrood Park 
S01008802,Leith (Albert Street) - 01,-
S01008803,Leith (Albert Street) - 02,-
S01008804,Leith (Albert Street) - 03,-
S01008805,Leith (Albert Street) - 04,-
S01008806,Hillside and Calton Hill - 01,-
S01008807,Hillside and Calton Hill - 02,Holyrood Park 
S01008808,Hillside and Calton Hill - 03,Holyrood Park 
S01008809,Hillside and Calton Hill - 04,Holyrood Park 
S01008810,Hillside and Calton Hill - 05,Holyrood Park 
S01008811,Hillside and Calton Hill - 06,-
S01008812,Hillside and Calton Hill - 07,-
S01008813,Pilrig - 01,-
S01008814,Pilrig - 02,-
S01008815,Pilrig - 03,Leith Links 
S01008816,Pilrig - 04,-
S01008817,Bonnington - 01,-
S01008818,Bonnington - 02,-
S01008819,Bonnington - 03,-
S01008820,Bonnington - 04,-
S01008821,Trinity East and The Dudleys - 01,-
S01008822,Trinity East and The Dudleys - 02,-
S01008823,Trinity East and The Dudleys - 03,-
S01008824,Trinity East and The Dudleys - 04,-
S01008825,Trinity East and The Dudleys - 05,-
S01008826,Trinity - 01,-
S01008827,Trinity - 02,-
S01008828,Trinity - 03,-
S01008829,Trinity - 04,Royal Botanic Gardens 
S01008830,Trinity - 05,Royal Botanic Gardens 
S01008831,Trinity - 06,-
S01008832,"Inverleith, Goldenacre and Warriston - 01",Inverleith Park 
S01008832,"Inverleith, Goldenacre and Warriston - 01",Royal Botanic Gardens 
S01008833,"Inverleith, Goldenacre and Warriston - 02",Inverleith Park 
S01008833,"Inverleith, Goldenacre and Warriston - 02",Royal Botanic Gardens 
S01008834,"Inverleith, Goldenacre and Warriston - 03",Inverleith Park 
S01008834,"Inverleith, Goldenacre and Warriston - 03",Royal Botanic Gardens 
S01008835,"Inverleith, Goldenacre and Warriston - 04",Royal Botanic Gardens 
S01008836,Broughton North and Powderhall - 01,-
S01008837,Broughton North and Powderhall - 02,-
S01008838,Broughton North and Powderhall - 03,Inverleith Park 
S01008838,Broughton North and Powderhall - 03,Royal Botanic Gardens 
S01008839,Broughton North and Powderhall - 04,-
S01008840,Broughton South - 01,-
S01008841,Broughton South - 02,-
S01008842,Broughton South - 03,-
S01008843,Broughton South - 04,-
S01008844,Broughton South - 05,-
S01008845,New Town East and Gayfield - 01,-
S01008846,New Town East and Gayfield - 02,-
S01008847,New Town East and Gayfield - 03,Princes Street Gardens East & West 
S01008848,New Town East and Gayfield - 04,Princes Street Gardens East & West 
S01008849,New Town West - 01,Princes Street Gardens East & West 
S01008850,New Town West - 02,Princes Street Gardens East & West 
S01008851,New Town West - 03,Princes Street Gardens East & West 
S01008851,New Town West - 03,Inverleith Park 
S01008852,New Town West - 04,Princes Street Gardens East & West 
S01008852,New Town West - 04,Inverleith Park 
S01008853,Canonmills and New Town North - 01,-
S01008854,Canonmills and New Town North - 02,Princes Street Gardens East & West 
S01008855,Canonmills and New Town North - 03,Inverleith Park 
S01008855,Canonmills and New Town North - 03,Princes Street Gardens East & West 
S01008856,Canonmills and New Town North - 04,Inverleith Park 
S01008857,Stockbridge - 01,Inverleith Park 
S01008857,Stockbridge - 01,Royal Botanic Gardens 
S01008858,Stockbridge - 02,Inverleith Park 
S01008858,Stockbridge - 02,Royal Botanic Gardens 
S01008859,Stockbridge - 03,Inverleith Park 
S01008859,Stockbridge - 03,Princes Street Gardens East & West 
S01008859,Stockbridge - 03,Royal Botanic Gardens 
S01008860,Stockbridge - 04,Princes Street Gardens East & West 
S01008860,Stockbridge - 04,Inverleith Park 
S01008860,Stockbridge - 04,Royal Botanic Gardens 
S01008861,Stockbridge - 05,Princes Street Gardens East & West 
S01008861,Stockbridge - 05,Inverleith Park 
S01008862,Stockbridge - 06,Inverleith Park 
S01008862,Stockbridge - 06,Royal Botanic Gardens 
S01008863,Stockbridge - 07,Inverleith Park 
S01008863,Stockbridge - 07,Royal Botanic Gardens 
S01008864,Comely Bank - 01,Inverleith Park 
S01008864,Comely Bank - 01,Royal Botanic Gardens 
S01008865,Comely Bank - 02,Inverleith Park 
S01008866,Comely Bank - 03,Inverleith Park 
S01008867,Comely Bank - 04,Inverleith Park 
S01008868,Deans Village - 01,Princes Street Gardens East & West 
S01008869,Deans Village - 02,Princes Street Gardens East & West 
S01008869,Deans Village - 02,Inverleith Park 
S01008870,Deans Village - 03,-
S01008871,Deans Village - 04,Princes Street Gardens East & West 
S01008872,Deans Village - 05,-
S01008873,Deans Village - 06,-
S01008874,Deans Village - 07,-
S01008875,Balgreen and Roseburn - 01,-
S01008876,Balgreen and Roseburn - 02,Corstorphine Hill 
S01008876,Balgreen and Roseburn - 02,Saughton Park 
S01008877,Balgreen and Roseburn - 03,Corstorphine Hill 
S01008877,Balgreen and Roseburn - 03,Saughton Park 
S01008878,Balgreen and Roseburn - 04,Corstorphine Hill 
S01008878,Balgreen and Roseburn - 04,Saughton Park 
S01008879,Balgreen and Roseburn - 05,Corstorphine Hill 
S01008879,Balgreen and Roseburn - 05,Saughton Park 
S01008880,Balgreen and Roseburn - 06,Corstorphine Hill 
S01008880,Balgreen and Roseburn - 06,Saughton Park 
S01008881,Murrayfield and Ravelston - 01,Corstorphine Hill 
S01008882,Murrayfield and Ravelston - 02,-
S01008883,Murrayfield and Ravelston - 03,-
S01008884,Murrayfield and Ravelston - 04,-
S01008885,Murrayfield and Ravelston - 05,-
S01008886,"Craigleith, Orchard Brae and Crewe Toll - 01",-
S01008887,"Craigleith, Orchard Brae and Crewe Toll - 02",Inverleith Park 
S01008888,"Craigleith, Orchard Brae and Crewe Toll - 03",Inverleith Park 
S01008889,"Craigleith, Orchard Brae and Crewe Toll - 04",-
S01008890,"Craigleith, Orchard Brae and Crewe Toll - 05",Inverleith Park 
S01008891,"Craigleith, Orchard Brae and Crewe Toll - 06",-
S01008892,Blackhall - 01,-
S01008893,Blackhall - 02,-
S01008894,Blackhall - 03,Corstorphine Hill 
S01008895,Blackhall - 04,Corstorphine Hill 
S01008895,Blackhall - 04,Davidsons Mains Park 
S01008896,Blackhall - 05,Davidsons Mains Park 
S01008896,Blackhall - 05,Corstorphine Hill 
S01008897,Blackhall - 06,Davidsons Mains Park 
S01008897,Blackhall - 06,Corstorphine Hill 
S01008897,Blackhall - 06,Lauriston Castle 
S01008898,Blackhall - 07,-
S01008899,Drylaw - 01,-
S01008900,Drylaw - 02,-
S01008901,Drylaw - 03,-
S01008902,Drylaw - 04,-
S01008903,Drylaw - 05,-
S01008904,West Pilton - 01,-
S01008905,West Pilton - 02,-
S01008906,West Pilton - 03,-
S01008907,West Pilton - 04,-
S01008908,West Pilton - 05,-
S01008909,Boswall and Pilton - 01,-
S01008910,Boswall and Pilton - 02,-
S01008911,Boswall and Pilton - 03,Inverleith Park 
S01008912,Boswall and Pilton - 04,Royal Botanic Gardens 
S01008913,Boswall and Pilton - 05,-
S01008914,Boswall and Pilton - 06,-
S01008915,Boswall and Pilton - 07,-
S01008916,Granton South and Wardieburn - 01,-
S01008917,Granton South and Wardieburn - 02,-
S01008918,Granton South and Wardieburn - 03,-
S01008919,Granton South and Wardieburn - 04,-
S01008920,Granton and Royston Mains - 01,Gypsy Brae Recreation Ground 
S01008921,Granton and Royston Mains - 02,-
S01008922,Granton and Royston Mains - 03,-
S01008923,Granton and Royston Mains - 04,-
S01008924,Granton West and Salvesen - 01,-
S01008925,Granton West and Salvesen - 02,-
S01008926,Granton West and Salvesen - 03,-
S01008927,Granton West and Salvesen - 04,-
S01008928,Granton West and Salvesen - 05,Lauriston Castle 
S01008928,Granton West and Salvesen - 05,Cramond Foreshore 
S01008928,Granton West and Salvesen - 05,Gypsy Brae Recreation Ground 
S01008929,Muirhouse - 01,-
S01008930,Muirhouse - 02,-
S01008931,Muirhouse - 03,-
S01008932,Muirhouse - 04,-
S01008933,Muirhouse - 05,-
S01008934,Muirhouse - 06,-
S01008935,Silverknowes and Davidson's Mains - 01,Davidsons Mains Park 
S01008935,Silverknowes and Davidson's Mains - 01,Lauriston Castle 
S01008936,Silverknowes and Davidson's Mains - 02,Davidsons Mains Park 
S01008936,Silverknowes and Davidson's Mains - 02,Corstorphine Hill 
S01008936,Silverknowes and Davidson's Mains - 02,Lauriston Castle 
S01008937,Silverknowes and Davidson's Mains - 03,Davidsons Mains Park 
S01008937,Silverknowes and Davidson's Mains - 03,Corstorphine Hill 
S01008937,Silverknowes and Davidson's Mains - 03,Lauriston Castle 
S01008938,Silverknowes and Davidson's Mains - 04,Corstorphine Hill 
S01008938,Silverknowes and Davidson's Mains - 04,Davidsons Mains Park 
S01008938,Silverknowes and Davidson's Mains - 04,Lauriston Castle 
S01008939,Silverknowes and Davidson's Mains - 05,Davidsons Mains Park 
S01008939,Silverknowes and Davidson's Mains - 05,Lauriston Castle 
S01008939,Silverknowes and Davidson's Mains - 05,Cramond Foreshore 
S01008940,Silverknowes and Davidson's Mains - 06,Davidsons Mains Park 
S01008940,Silverknowes and Davidson's Mains - 06,Corstorphine Hill 
S01008940,Silverknowes and Davidson's Mains - 06,Lauriston Castle 
S01008941,Cramond - 01,-
S01008942,Cramond - 02,-
S01008943,Cramond - 03,-
S01008944,"Barnton, Cammo and Cramond South - 01",Cammo Estate 
S01008945,"Barnton, Cammo and Cramond South - 02",Cammo Estate 
S01008946,"Barnton, Cammo and Cramond South - 03",Cammo Estate 
S01008947,"Barnton, Cammo and Cramond South - 04",Davidsons Mains Park 
S01008947,"Barnton, Cammo and Cramond South - 04",Corstorphine Hill 
S01008948,Clermiston and Drumbrae - 01,Davidsons Mains Park 
S01008948,Clermiston and Drumbrae - 01,Corstorphine Hill 
S01008949,Clermiston and Drumbrae - 02,Davidsons Mains Park 
S01008949,Clermiston and Drumbrae - 02,Corstorphine Hill 
S01008950,Clermiston and Drumbrae - 03,Davidsons Mains Park 
S01008950,Clermiston and Drumbrae - 03,Corstorphine Hill 
S01008951,Clermiston and Drumbrae - 04,Corstorphine Hill 
S01008952,Clermiston and Drumbrae - 05,Corstorphine Hill 
S01008953,Clermiston and Drumbrae - 06,Corstorphine Hill 
S01008954,Clermiston and Drumbrae - 07,Corstorphine Hill 
S01008955,East Craigs North - 01,-
S01008956,East Craigs North - 02,-
S01008957,East Craigs North - 03,-
S01008958,East Craigs North - 04,-
S01008959,East Craigs North - 05,-
S01008960,East Craigs South - 01,Gyle Park & Playing Fields 
S01008961,East Craigs South - 02,-
S01008962,East Craigs South - 03,Gyle Park & Playing Fields 
S01008963,East Craigs South - 04,Gyle Park & Playing Fields 
S01008964,East Craigs South - 05,Gyle Park & Playing Fields 
S01008965,East Craigs South - 06,-
S01008966,East Craigs South - 07,-
S01008967,Corstorphine North - 01,Gyle Park & Playing Fields 
S01008968,Corstorphine North - 02,Corstorphine Hill 
S01008969,Corstorphine North - 03,Davidsons Mains Park 
S01008969,Corstorphine North - 03,Corstorphine Hill 
S01008970,Corstorphine - 01,-
S01008971,Corstorphine - 02,-
S01008972,Corstorphine - 03,-
S01008973,Corstorphine - 04,Corstorphine Hill 
S01008974,Corstorphine - 05,Gyle Park & Playing Fields 
S01008975,Corstorphine - 06,Gyle Park & Playing Fields 
S01008976,Corstorphine - 07,-
S01008977,Carrick Knowe - 01,-
S01008978,Carrick Knowe - 02,-
S01008979,Carrick Knowe - 03,-
S01008980,Carrick Knowe - 04,-
S01008981,Corstorphine South - 01,-
S01008982,Corstorphine South - 02,-
S01008983,Corstorphine South - 03,Sighthill Park 
S01008984,Corstorphine South - 04,-
S01008985,Corstorphine South - 05,Sighthill Park 
S01008985,Corstorphine South - 05,Gyle Park & Playing Fields 
S01008986,Corstorphine South - 06,Gyle Park & Playing Fields 
S01008987,South Gyle - 01,Gyle Park & Playing Fields 
S01008988,South Gyle - 02,Gyle Park & Playing Fields 
S01008989,South Gyle - 03,Gyle Park & Playing Fields 
S01008990,South Gyle - 04,Sighthill Park 
S01008990,South Gyle - 04,Gyle Park & Playing Fields 
S01008991,South Gyle - 05,Gyle Park & Playing Fields 
S01008992,South Gyle - 06,Gyle Park & Playing Fields 
S01008993,"Ratho, Ingliston and Gogar - 01",Gyle Park & Playing Fields 
S01008993,"Ratho, Ingliston and Gogar - 01",Cammo Estate 
S01008994,"Ratho, Ingliston and Gogar - 02",-
S01008995,"Ratho, Ingliston and Gogar - 03",-
S01008996,"Ratho, Ingliston and Gogar - 04",-
S01008997,"Dalmeny, Kirkliston and Newbridge - 01",-
S01008998,"Dalmeny, Kirkliston and Newbridge - 02",-
S01008999,"Dalmeny, Kirkliston and Newbridge - 03",-
S01009000,"Dalmeny, Kirkliston and Newbridge - 04",-
S01009001,"Dalmeny, Kirkliston and Newbridge - 05",-
S01009002,"Dalmeny, Kirkliston and Newbridge - 06",Cammo Estate 
S01009003,Queensferry East - 01,-
S01009004,Queensferry East - 02,-
S01009005,Queensferry East - 03,-
S01009006,Queensferry East - 04,-
S01009007,Queensferry East - 05,-
S01009008,Queensferry East - 06,-
S01009009,Queensferry West - 01,-
S01009010,Queensferry West - 02,-
S01009011,Queensferry West - 03,-
S01009012,Queensferry West - 04,-
S01009013,Queensferry West - 05,-
